ID	BK	SR	Month	Country	Project	Samples	Lat	CoordY	CoordX	Vegetation	Diversity	Temp	Prec		
IR1519	IE02	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-9.001819444	Agricultural	Medium	12.10000038	51.40000153		
IR1520	IE03	SR01	06/05/2023	Ireland	INSIGNIA-EU	No	53	53	-8.643619444	Artificial	High	12.80000019	44.79999924		
IR1521	IE03	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-8.643619444	Artificial	High	12.80000019	44.79999924		
IR1522	IE04	SR01	04/05/2023	Ireland	INSIGNIA-EU	Yes	52	52	-6.718844444	Agricultural	Medium	12.5	45.29999924		
IR1523	IE04	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	52	52	-6.718844444	Agricultural	Medium	12.5	45.29999924		
IR1524	IE05	SR01	07/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.062311111	Artificial	High	11.90000057	44.40000153		
IR1525	IE05	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.062311111	Artificial	High	11.90000057	44.40000153		
IR1526	IE06	SR01	04/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.289933333	Artificial	Medium	11.90000057	44.40000153		
IR1527	IE06	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.289933333	Artificial	Medium	11.90000057	44.40000153		
IR1528	IE07	SR01	05/05/2023	Ireland	INSIGNIA-EU	Yes	52	52	-9.030088889	Agricultural	Low	12.19999981	51		
IR1529	IE07	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	52	52	-9.030088889	Agricultural	Low	12.19999981	51		
IR1530	IE08	SR01	04/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.948916667	Agricultural	High	12.10000038	46		
IR1531	IE08	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-6.948916667	Agricultural	High	12.10000038	46		
IR1532	IE09	SR01	05/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-8.081063889	Agricultural	Low	12.19999981	50.40000153		
IR1533	IE09	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	53	53	-8.081063889	Agricultural	Low	12.19999981	50.40000153		
IR1534	IE10	SR01	05/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-6.637511111	Agricultural	High	12.40000057	43.29999924		
IR1535	IE10	SR02	19/05/2023	Ireland	INSIGNIA-EU	Yes	54	54	-6.637511111	Agricultural	High	12.40000057	43.29999924		
D1536	DK01	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.57672222	Agricultural	High	12.10000038	15.30000019		
D1537	DK01	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.57672222	Agricultural	High	12.10000038	15.30000019		
D1538	DK02	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	55	55	11.57086111	Agricultural	High	11.69999981	14.80000019		
D1539	DK02	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	55	55	11.57086111	Agricultural	High	11.69999981	14.80000019		
D1540	DK03	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.92163889	Artificial	High	12.10000038	15.30000019		
D1541	DK03	SR02	21/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.92163889	Artificial	High	12.10000038	15.30000019		
D1542	DK04	SR01	06/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	12.29213889	Agricultural	High	12.40000057	14.30000019		
D1543	DK04	SR02	20/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	12.29213889	Agricultural	High	12.40000057	14.30000019		
D1544	DK05	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	57	57	9.596416667	Agricultural	Medium	11.30000019	21.30000114		
D1545	DK05	SR02	21/05/2023	Denmark	INSIGNIA-EU	Yes	57	57	9.596416667	Agricultural	Medium	11.30000019	21.30000114		
D1546	DK06	SR01	07/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.03769444	Artificial	High	11.80000019	17.10000038		
D1547	DK06	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	11.03769444	Artificial	High	11.80000019	17.10000038		
D1548	DK09	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	8.264666667	Agricultural	Medium	11.19999981	26.20000076		
D1549	DK09	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	8.264666667	Agricultural	Medium	11.19999981	26.20000076		
D1550	DK10	SR01	04/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	10.16905556	Artificial	High	11.5	19.60000038		
D1551	DK10	SR02	18/05/2023	Denmark	INSIGNIA-EU	Yes	56	56	10.16905556	Artificial	High	11.5	19.60000038		
NL1552	NL01	SR01	05/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	6.410919	Agricultural	Medium	13.80000019	42.40000153		
NL1553	NL01	SR02	21/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	6.410919	Agricultural	Medium	13.80000019	42.40000153		
NL1554	NL02	SR01	07/05/2023	Netherlands	INSIGNIA-EU	Yes	51	51	4.103449	Agricultural	Low	14	46.10000229		
NL1555	NL02	SR02	21/05/2023	Netherlands	INSIGNIA-EU	Yes	51	51	4.103449	Agricultural	Low	14	46.10000229		
NL1556	NL03	SR01	04/05/2023	Netherlands	INSIGNIA-EU	No	52	52	4.9130526	Agricultural	Medium	13	40.40000153		
NL1557	NL03	SR02	21/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	4.9130526	Agricultural	Medium	13	40.40000153		
NL1558	NL04	SR01	06/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	5.4815222	Agricultural	Medium	13.69999981	46.79999924		
NL1559	NL04	SR02	19/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	5.4815222	Agricultural	Medium	13.69999981	46.79999924		
NL1560	NL05	SR01	07/05/2023	Netherlands	INSIGNIA-EU	Yes	51	51	5.4197688	Artificial	High	14.10000038	48.90000153		
NL1561	NL05	SR02	19/05/2023	Netherlands	INSIGNIA-EU	Yes	51	51	5.4197688	Artificial	High	14.10000038	48.90000153		
NL1562	NL06	SR01	04/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	5.753667	Forest/Natural	High	13.80000019	44.70000076		
NL1564	NL07	SR01	04/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	4.641748	Artificial	High	13	40.40000153		
NL1565	NL07	SR02	19/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	4.641748	Artificial	High	13	40.40000153		
NL1566	NL08	SR01	05/05/2023	Netherlands	INSIGNIA-EU	Yes	52	52	5.23025	Artificial	High	13.69999981	46.79999924		
